# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.6.1
#@/tick	154004
#@/user_id	linusboyle
bao zhang 	報賬	c=1 d=5.5739e-07 t=154004
bao zheng 	保證	c=49 d=0.501576 t=154004
bao zheng le 	保證了	c=1 d=6.93303e-74 t=154004
bao zhi 	報紙	c=1 d=2.08903e-20 t=154004
bao zhu 	爆竹	c=1 d=6.81262e-15 t=154004
bao zhuang 	包裝	c=10 d=0.0361528 t=154004
bao zhuang he 	包裝盒	c=1 d=7.67467e-05 t=154004
bao zu se 	包阻塞	c=1 d=5.94583e-61 t=154004
bei 	倍	c=6 d=4.99244e-05 t=154004
bei 	備	c=3 d=9.64753e-20 t=154004
bei 	北	c=1 d=4.58874e-13 t=154004
bei 	唄	c=20 d=0.410804 t=154004
bei 	盃	c=3 d=0.00112143 t=154004
bei 	背	c=1 d=2.02647e-74 t=154004
bei 	被	c=249 d=1.69367 t=154004
bei 	輩	c=2 d=1.58623e-20 t=154004
bei ai 	悲哀	c=1 d=0.606531 t=154004
bei an 	備案	c=14 d=1.27182e-09 t=154004
bei an hao 	備案號	c=5 d=1.69042e-39 t=154004
bei bao 	背包	c=5 d=1.41036e-37 t=154004
bei bian yuan hua 	被邊緣化	c=1 d=1.23704e-32 t=154004
bei bo duo 	被剝奪	c=1 d=4.33021e-66 t=154004
bei can 	悲慘	c=2 d=0.178173 t=154004
bei cheng wei 	被稱爲	c=3 d=0.00313978 t=154004
bei cheng zuo 	被稱作	c=1 d=0.00117675 t=154004
bei chi le 	被吃了	c=1 d=8.86288e-22 t=154004
bei chu shu 	被除數	c=1 d=0.000171659 t=154004
bei ci 	背刺	c=1 d=3.16142e-12 t=154004
bei cun zai 	被存在	c=1 d=0.000291637 t=154004
bei da 	北大	c=2 d=6.33241e-08 t=154004
bei dan ci 	背單詞	c=4 d=1.13666e-07 t=154004
bei de 	倍的	c=1 d=1.4595e-07 t=154004
bei dong 	被動	c=3 d=2.37578e-07 t=154004
bei fa xian 	被發現	c=1 d=7.77584e-12 t=154004
bei fang wen 	被訪問	c=1 d=1.22344e-49 t=154004
bei fen 	備份	c=3 d=0.000480828 t=154004
bei fen wei 	被分爲	c=1 d=0.00157264 t=154004
bei fu lu 	被俘虜	c=1 d=1.03306e-59 t=154004
bei gao zhi 	被告知	c=1 d=8.72025e-37 t=154004
bei gong qu xi 	卑躬屈膝	c=1 d=1.19198e-66 t=154004
bei guan 	北館	c=1 d=1.81168e-50 t=154004
bei guo 	背鍋	c=1 d=2.53745e-43 t=154004
bei hai 	北海	c=1 d=0.000359786 t=154004
bei hou 	背後	c=10 d=0.175662 t=154004
bei huan li he 	悲歡離合	c=1 d=0.000476044 t=154004
bei jia 	倍加	c=1 d=2.01643e-45 t=154004
bei jian hua 	被簡化	c=1 d=1.54486e-58 t=154004
